1
367,733,1465,2929,5857,11713,7042,14083,11782,7180,14359,12334,8284,184
371,741,1481,2961,5921,11841,7298,14595,12806,9228,2072,4143,8285,186
375,749,1497,2993,5985,11969,7554,15107,13830,11276,6168,12335,8286,188
379,757,1513,3025,6049,12097,7810,15619,14854,13324,10264,4144,8287,190
383,765,1529,3057,6113,12225,8066,16131,15878,15372,14360,12336,8288,192
387,773,1545,3089,6177,12353,8322,260,519,1037,2073,4145,8289,194
391,781,1561,3121,6241,12481,8578,772,1543,3085,6169,12337,8290,196
395,789,1577,3153,6305,12609,8834,1284,2567,5133,10265,4146,8291,198
399,797,1593,3185,6369,12737,9090,1796,3591,7181,14361,12338,8292,200
403,805,1609,3217,6433,12865,9346,2308,4615,9229,2074,4147,8293,202
407,813,1625,3249,6497,12993,9602,2820,5639,11277,6170,12339,8294,204
411,821,1641,3281,6561,13121,9858,3332,6663,13325,10266,4148,8295,206
415,829,1657,3313,6625,13249,10114,3844,7687,15373,14362,12340,8296,208
419,837,1673,3345,6689,13377,10370,4356,8711,1038,2075,4149,8297,210
423,845,1689,3377,6753,13505,10626,4868,9735,3086,6171,12341,8298,212
427,853,1705,3409,6817,13633,10882,5380,10759,5134,10267,4150,8299,214
431,861,1721,3441,6881,13761,11138,5892,11783,7182,14363,12342,8300,216
435,869,1737,3473,6945,13889,11394,6404,12807,9230,2076,4151,8301,218
439,877,1753,3505,7009,14017,11650,6916,13831,11278,6172,12343,8302,220
443,885,1769,3537,7073,14145,11906,7428,14855,13326,10268,4152,8303,222
447,893,1785,3569,7137,14273,12162,7940,15879,15374,14364,12344,8304,224
451,901,1801,3601,7201,14401,12418,8452,520,1039,2077,4153,8305,226
455,909,1817,3633,7265,14529,12674,8964,1544,3087,6173,12345,8306,228
459,917,1833,3665,7329,14657,12930,9476,2568,5135,10269,4154,8307,230
463,925,1849,3697,7393,14785,13186,9988,3592,7183,14365,12346,8308,232
467,933,1865,3729,7457,14913,13442,10500,4616,9231,2078,4155,8309,234
471,941,1881,3761,7521,15041,13698,11012,5640,11279,6174,12347,8310,236
475,949,1897,3793,7585,15169,13954,11524,6664,13327,10270,4156,8311,238
479,957,1913,3825,7649,15297,14210,12036,7688,15375,14366,12348,8312,240
483,965,1929,3857,7713,15425,14466,12548,8712,1040,2079,4157,8313,242
487,973,1945,3889,7777,15553,14722,13060,9736,3088,6175,12349,8314,244
491,981,1961,3921,7841,15681,14978,13572,10760,5136,10271,4158,8315,246
495,989,1977,3953,7905,15809,15234,14084,11784,7184,14367,12350,8316,248
499,997,1993,3985,7969,15937,15490,14596,12808,9232,2080,4159,8317,250
503,1005,2009,4017,8033,16065,15746,15108,13832,11280,6176,12351,8318,252
507,1013,2025,4049,8097,16193,16002,15620,14856,13328,10272,4160,8319,254
511,1021,2041,4081,8161,16321,16258,16132,15880,15376,14368,12352,8320,256
523,1045,2089,4177,8353,322,643,1285,2569,5137,10273,4162,8323,262
527,1053,2105,4209,8417,450,899,1797,3593,7185,14369,12354,8324,264
531,1061,2121,4241,8481,578,1155,2309,4617,9233,2082,4163,8325,266
535,1069,2137,4273,8545,706,1411,2821,5641,11281,6178,12355,8326,268
539,1077,2153,4305,8609,834,1667,3333,6665,13329,10274,4164,8327,270
543,1085,2169,4337,8673,962,1923,3845,7689,15377,14370,12356,8328,272
547,1093,2185,4369,8737,1090,2179,4357,8713,1042,2083,4165,8329,274
551,1101,2201,4401,8801,1218,2435,4869,9737,3090,6179,12357,8330,276
555,1109,2217,4433,8865,1346,2691,5381,10761,5138,10275,4166,8331,278
559,1117,2233,4465,8929,1474,2947,5893,11785,7186,14371,12358,8332,280
563,1125,2249,4497,8993,1602,3203,6405,12809,9234,2084,4167,8333,282
567,1133,2265,4529,9057,1730,3459,6917,13833,11282,6180,12359,8334,284
571,1141,2281,4561,9121,1858,3715,7429,14857,13330,10276,4168,8335,286
575,1149,2297,4593,9185,1986,3971,7941,15881,15378,14372,12360,8336,288
579,1157,2313,4625,9249,2114,4227,8453,522,1043,2085,4169,8337,290
583,1165,2329,4657,9313,2242,4483,8965,1546,3091,6181,12361,8338,292
587,1173,2345,4689,9377,2370,4739,9477,2570,5139,10277,4170,8339,294
591,1181,2361,4721,9441,2498,4995,9989,3594,7187,14373,12362,8340,296
595,1189,2377,4753,9505,2626,5251,10501,4618,9235,2086,4171,8341,298
599,1197,2393,4785,9569,2754,5507,11013,5642,11283,6182,12363,8342,300
603,1205,2409,4817,9633,2882,5763,11525,6666,13331,10278,4172,8343,302
607,1213,2425,4849,9697,3010,6019,12037,7690,15379,14374,12364,8344,304
611,1221,2441,4881,9761,3138,6275,12549,8714,1044,2087,4173,8345,306
615,1229,2457,4913,9825,3266,6531,13061,9738,3092,6183,12365,8346,308
619,1237,2473,4945,9889,3394,6787,13573,10762,5140,10279,4174,8347,310
623,1245,2489,4977,9953,3522,7043,14085,11786,7188,14375,12366,8348,312
627,1253,2505,5009,10017,3650,7299,14597,12810,9236,2088,4175,8349,314
631,1261,2521,5041,10081,3778,7555,15109,13834,11284,6184,12367,8350,316
635,1269,2537,5073,10145,3906,7811,15621,14858,13332,10280,4176,8351,318
639,1277,2553,5105,10209,4034,8067,16133,15882,15380,14376,12368,8352,320
647,1293,2585,5169,10337,4290,8579,774,1547,3093,6185,12369,8354,324
651,1301,2601,5201,10401,4418,8835,1286,2571,5141,10281,4178,8355,326
655,1309,2617,5233,10465,4546,9091,1798,3595,7189,14377,12370,8356,328
659,1317,2633,5265,10529,4674,9347,2310,4619,9237,2090,4179,8357,330
663,1325,2649,5297,10593,4802,9603,2822,5643,11285,6186,12371,8358,332
667,1333,2665,5329,10657,4930,9859,3334,6667,13333,10282,4180,8359,334
671,1341,2681,5361,10721,5058,10115,3846,7691,15381,14378,12372,8360,336
675,1349,2697,5393,10785,5186,10371,4358,8715,1046,2091,4181,8361,338
679,1357,2713,5425,10849,5314,10627,4870,9739,3094,6187,12373,8362,340
683,1365,2729,5457,10913,5442,10883,5382,10763,5142,10283,4182,8363,342
687,1373,2745,5489,10977,5570,11139,5894,11787,7190,14379,12374,8364,344
691,1381,2761,5521,11041,5698,11395,6406,12811,9238,2092,4183,8365,346
695,1389,2777,5553,11105,5826,11651,6918,13835,11286,6188,12375,8366,348
699,1397,2793,5585,11169,5954,11907,7430,14859,13334,10284,4184,8367,350
703,1405,2809,5617,11233,6082,12163,7942,15883,15382,14380,12376,8368,352
707,1413,2825,5649,11297,6210,12419,8454,524,1047,2093,4185,8369,354
711,1421,2841,5681,11361,6338,12675,8966,1548,3095,6189,12377,8370,356
715,1429,2857,5713,11425,6466,12931,9478,2572,5143,10285,4186,8371,358
719,1437,2873,5745,11489,6594,13187,9990,3596,7191,14381,12378,8372,360
723,1445,2889,5777,11553,6722,13443,10502,4620,9239,2094,4187,8373,362
727,1453,2905,5809,11617,6850,13699,11014,5644,11287,6190,12379,8374,364
731,1461,2921,5841,11681,6978,13955,11526,6668,13335,10286,4188,8375,366
735,1469,2937,5873,11745,7106,14211,12038,7692,15383,14382,12380,8376,368
739,1477,2953,5905,11809,7234,14467,12550,8716,1048,2095,4189,8377,370
743,1485,2969,5937,11873,7362,14723,13062,9740,3096,6191,12381,8378,372
747,1493,2985,5969,11937,7490,14979,13574,10764,5144,10287,4190,8379,374
751,1501,3001,6001,12001,7618,15235,14086,11788,7192,14383,12382,8380,376
755,1509,3017,6033,12065,7746,15491,14598,12812,9240,2096,4191,8381,378
759,1517,3033,6065,12129,7874,15747,15110,13836,11288,6192,12383,8382,380
763,1525,3049,6097,12193,8002,16003,15622,14860,13336,10288,4192,8383,382
767,1533,3065,6129,12257,8130,16259,16134,15884,15384,14384,12384,8384,384
775,1549,3097,6193,12385,8386,388
779,1557,3113,6225,12449,8514,644,1287,2573,5145,10289,4194,8387,390
783,1565,3129,6257,12513,8642,900,1799,3597,7193,14385,12386,8388,392
787,1573,3145,6289,12577,8770,1156,2311,4621,9241,2098,4195,8389,394
791,1581,3161,6321,12641,8898,1412,2823,5645,11289,6194,12387,8390,396
795,1589,3177,6353,12705,9026,1668,3335,6669,13337,10290,4196,8391,398
799,1597,3193,6385,12769,9154,1924,3847,7693,15385,14386,12388,8392,400
803,1605,3209,6417,12833,9282,2180,4359,8717,1050,2099,4197,8393,402
807,1613,3225,6449,12897,9410,2436,4871,9741,3098,6195,12389,8394,404
811,1621,3241,6481,12961,9538,2692,5383,10765,5146,10291,4198,8395,406
815,1629,3257,6513,13025,9666,2948,5895,11789,7194,14387,12390,8396,408
819,1637,3273,6545,13089,9794,3204,6407,12813,9242,2100,4199,8397,410
