1
239,477,953,1905,3809,7617,15233,30465,60929,121857,112642,94212,57352,114703,98334,65596,120
243,485,969,1937,3873,7745,15489,30977,61953,123905,116738,102404,73736,16400,32799,65597,122
247,493,985,1969,3937,7873,15745,31489,62977,125953,120834,110596,90120,49168,98335,65598,124
251,501,1001,2001,4001,8001,16001,32001,64001,128001,124930,118788,106504,81936,32800,65599,126
255,509,1017,2033,4065,8129,16257,32513,65025,130049,129026,126980,122888,114704,98336,65600,128
259,517,1033,2065,4129,8257,16513,33025,66049,1026,2051,4101,8201,16401,32801,65601,130
263,525,1049,2097,4193,8385,16769,33537,67073,3074,6147,12293,24585,49169,98337,65602,132
267,533,1065,2129,4257,8513,17025,34049,68097,5122,10243,20485,40969,81937,32802,65603,134
271,541,1081,2161,4321,8641,17281,34561,69121,7170,14339,28677,57353,114705,98338,65604,136
275,549,1097,2193,4385,8769,17537,35073,70145,9218,18435,36869,73737,16402,32803,65605,138
279,557,1113,2225,4449,8897,17793,35585,71169,11266,22531,45061,90121,49170,98339,65606,140
283,565,1129,2257,4513,9025,18049,36097,72193,13314,26627,53253,106505,81938,32804,65607,142
287,573,1145,2289,4577,9153,18305,36609,73217,15362,30723,61445,122889,114706,98340,65608,144
291,581,1161,2321,4641,9281,18561,37121,74241,17410,34819,69637,8202,16403,32805,65609,146
295,589,1177,2353,4705,9409,18817,37633,75265,19458,38915,77829,24586,49171,98341,65610,148
299,597,1193,2385,4769,9537,19073,38145,76289,21506,43011,86021,40970,81939,32806,65611,150
303,605,1209,2417,4833,9665,19329,38657,77313,23554,47107,94213,57354,114707,98342,65612,152
307,613,1225,2449,4897,9793,19585,39169,78337,25602,51203,102405,73738,16404,32807,65613,154
311,621,1241,2481,4961,9921,19841,39681,79361,27650,55299,110597,90122,49172,98343,65614,156
315,629,1257,2513,5025,10049,20097,40193,80385,29698,59395,118789,106506,81940,32808,65615,158
319,637,1273,2545,5089,10177,20353,40705,81409,31746,63491,126981,122890,114708,98344,65616,160
323,645,1289,2577,5153,10305,20609,41217,82433,33794,67587,4102,8203,16405,32809,65617,162
327,653,1305,2609,5217,10433,20865,41729,83457,35842,71683,12294,24587,49173,98345,65618,164
331,661,1321,2641,5281,10561,21121,42241,84481,37890,75779,20486,40971,81941,32810,65619,166
335,669,1337,2673,5345,10689,21377,42753,85505,39938,79875,28678,57355,114709,98346,65620,168
339,677,1353,2705,5409,10817,21633,43265,86529,41986,83971,36870,73739,16406,32811,65621,170
343,685,1369,2737,5473,10945,21889,43777,87553,44034,88067,45062,90123,49174,98347,65622,172
347,693,1385,2769,5537,11073,22145,44289,88577,46082,92163,53254,106507,81942,32812,65623,174
351,701,1401,2801,5601,11201,22401,44801,89601,48130,96259,61446,122891,114710,98348,65624,176
355,709,1417,2833,5665,11329,22657,45313,90625,50178,100355,69638,8204,16407,32813,65625,178
359,717,1433,2865,5729,11457,22913,45825,91649,52226,104451,77830,24588,49175,98349,65626,180
363,725,1449,2897,5793,11585,23169,46337,92673,54274,108547,86022,40972,81943,32814,65627,182
367,733,1465,2929,5857,11713,23425,46849,93697,56322,112643,94214,57356,114711,98350,65628,184
371,741,1481,2961,5921,11841,23681,47361,94721,58370,116739,102406,73740,16408,32815,65629,186
375,749,1497,2993,5985,11969,23937,47873,95745,60418,120835,110598,90124,49176,98351,65630,188
379,757,1513,3025,6049,12097,24193,48385,96769,62466,124931,118790,106508,81944,32816,65631,190
383,765,1529,3057,6113,12225,24449,48897,97793,64514,129027,126982,122892,114712,98352,65632,192
387,773,1545,3089,6177,12353,24705,49409,98817,66562,2052,4103,8205,16409,32817,65633,194
391,781,1561,3121,6241,12481,24961,49921,99841,68610,6148,12295,24589,49177,98353,65634,196
395,789,1577,3153,6305,12609,25217,50433,100865,70658,10244,20487,40973,81945,32818,65635,198
